punk_id,accessories,type,clean_accessories,neighbors,neighbors_clean
2343,"['Normal Beard Black', 'Mohawk Thin', 'Classic Shades', 'Earring']",male,male 'normal beard black' 'mohawk thin' 'classic shades' 'earring',"[[2106, 0.9672], [1792, 0.8626], [6364, 0.8626], [9117, 0.8626], [4861, 0.8243], [6967, 0.8243], [9002, 0.7998], [5202, 0.7951], [6039, 0.7945], [8508, 0.7945]]","[[2106, 0.9672], [1792, 0.8626], [6364, 0.8626], [9117, 0.8626], [4861, 0.8243], [6967, 0.8243], [9002, 0.7998], [5202, 0.7951], [6039, 0.7945], [8508, 0.7945]]"
2344,"['Bandana', 'Clown Eyes Blue', 'Luxurious Beard', 'Frown']",male,male 'bandana' 'clown eyes blue' 'luxurious beard' 'frown',"[[9355, 0.7714], [9891, 0.7516], [8698, 0.7474], [792, 0.729], [6685, 0.729], [9049, 0.7138], [8993, 0.7109], [6879, 0.6984], [374, 0.6896], [5099, 0.6896]]","[[9355, 0.7714], [9891, 0.7516], [8698, 0.7474], [792, 0.729], [6685, 0.729], [9049, 0.7138], [8993, 0.7109], [6879, 0.6984], [374, 0.6896], [5099, 0.6896]]"
2345,"['Big Shades', 'Do-rag']",male,male 'big shades' 'do rag',"[[1432, 1.0], [4238, 1.0], [2898, 0.9574], [7157, 0.9574], [7968, 0.9574], [3825, 0.9221], [8919, 0.895], [6829, 0.8926], [7220, 0.8926], [4360, 0.8697]]","[[1432, 1.0], [4238, 1.0], [2898, 0.9574], [7157, 0.9574], [7968, 0.9574], [3825, 0.9221], [8919, 0.895], [6829, 0.8926], [7220, 0.8926], [4360, 0.8697]]"
2346,"['Black Lipstick', 'Green Eye Shadow', 'Straight Hair']",female,female 'black lipstick' 'green eye shadow' 'straight hair',"[[4666, 0.9323], [7456, 0.9323], [9014, 0.9316], [5457, 0.8827], [6528, 0.8827], [352, 0.865], [2022, 0.865], [2591, 0.865], [6263, 0.8402], [8939, 0.8402]]","[[4666, 0.9323], [7456, 0.9323], [9014, 0.9316], [5457, 0.8827], [6528, 0.8827], [352, 0.865], [2022, 0.865], [2591, 0.865], [6263, 0.8402], [8939, 0.8402]]"
2347,"['Wild Hair', 'Eye Patch']",male,male 'wild hair' 'eye patch',"[[4804, 1.0], [5408, 1.0], [7446, 1.0], [4541, 0.9408], [5987, 0.9408], [6653, 0.9408], [4146, 0.9328], [4693, 0.9328], [5724, 0.9328], [2702, 0.8593]]","[[4804, 1.0], [5408, 1.0], [7446, 1.0], [4541, 0.9408], [5987, 0.9408], [6653, 0.9408], [4146, 0.9328], [4693, 0.9328], [5724, 0.9328], [2702, 0.8593]]"
2348,"['Front Beard', 'Mohawk Thin', 'Small Shades']",male,male 'front beard' 'mohawk thin' 'small shades',"[[8908, 0.8776], [1109, 0.8403], [1423, 0.8403], [4705, 0.8403], [5395, 0.8403], [7388, 0.83], [2584, 0.8149], [2991, 0.8149], [3753, 0.8149], [5101, 0.8135]]","[[8908, 0.8776], [1109, 0.8403], [1423, 0.8403], [4705, 0.8403], [5395, 0.8403], [7388, 0.83], [2584, 0.8149], [2991, 0.8149], [3753, 0.8149], [5101, 0.8135]]"
2349,"['Peak Spike', 'Vape']",male,male 'peak spike' 'vape',"[[3146, 1.0], [6604, 1.0], [9720, 0.9576], [2434, 0.8486], [33, 0.8175], [182, 0.8175], [321, 0.8175], [468, 0.8175], [3869, 0.7824], [4853, 0.7724]]","[[3146, 1.0], [6604, 1.0], [9720, 0.9576], [2434, 0.8486], [33, 0.8175], [182, 0.8175], [321, 0.8175], [468, 0.8175], [3869, 0.7824], [4853, 0.7724]]"
2350,"['Luxurious Beard', 'Peak Spike', 'Small Shades', 'Mole']",male,male 'luxurious beard' 'peak spike' 'small shades' 'mole',"[[1319, 0.8005], [1889, 0.8005], [5369, 0.8005], [228, 0.7883], [956, 0.7883], [4445, 0.7883], [6314, 0.7796], [8521, 0.7737], [4714, 0.7694], [5738, 0.7694]]","[[1319, 0.8005], [1889, 0.8005], [5369, 0.8005], [228, 0.7883], [956, 0.7883], [4445, 0.7883], [6314, 0.7796], [8521, 0.7737], [4714, 0.7694], [5738, 0.7694]]"
2351,"['Eye Mask', 'Mohawk Dark']",female,female 'eye mask' 'mohawk dark',"[[9200, 1.0], [958, 0.9357], [3987, 0.9357], [2145, 0.8778], [7230, 0.8501], [2968, 0.8333], [4734, 0.8204], [7500, 0.8052], [3161, 0.8043], [7358, 0.8043]]","[[9200, 1.0], [958, 0.9357], [3987, 0.9357], [2145, 0.8778], [7230, 0.8501], [2968, 0.8333], [4734, 0.8204], [7500, 0.8052], [3161, 0.8043], [7358, 0.8043]]"
2352,"['Frumpy Hair', 'Nerd Glasses']",male,male 'frumpy hair' 'nerd glasses',"[[1003, 1.0], [1981, 1.0], [7225, 0.944], [7559, 0.944], [2152, 0.9367], [4882, 0.9367], [954, 0.8857], [1097, 0.8783], [2944, 0.866], [2186, 0.845]]","[[1003, 1.0], [1981, 1.0], [7225, 0.944], [7559, 0.944], [2152, 0.9367], [4882, 0.9367], [954, 0.8857], [1097, 0.8783], [2944, 0.866], [2186, 0.845]]"
2353,"['Silver Chain', 'Purple Hair', 'VR']",male,male 'silver chain' 'purple hair' 'vr',"[[8574, 0.8173], [4260, 0.7967], [3587, 0.7402], [6404, 0.7314], [7111, 0.7176], [6737, 0.7142], [8088, 0.7142], [2792, 0.7129], [6368, 0.7129], [6328, 0.7051]]","[[8574, 0.8173], [4260, 0.7967], [3587, 0.7402], [6404, 0.7314], [7111, 0.7176], [6737, 0.7142], [8088, 0.7142], [2792, 0.7129], [6368, 0.7129], [6328, 0.7051]]"
2354,"['Bandana', 'Clown Eyes Green']",male,male 'bandana' 'clown eyes green',"[[5764, 1.0], [3575, 0.9505], [5400, 0.9505], [9233, 0.9505], [2297, 0.9445], [3584, 0.9445], [4273, 0.9445], [8858, 0.899], [9246, 0.836], [1988, 0.8235]]","[[5764, 1.0], [3575, 0.9505], [5400, 0.9505], [9233, 0.9505], [2297, 0.9445], [3584, 0.9445], [4273, 0.9445], [8858, 0.899], [9246, 0.836], [1988, 0.8235]]"
2355,"['Luxurious Beard', 'Crazy Hair']",male,male 'luxurious beard' 'crazy hair',"[[1993, 1.0], [5224, 1.0], [8673, 0.9482], [8353, 0.9064], [7536, 0.8865], [770, 0.834], [4553, 0.8318], [8025, 0.8219], [6582, 0.7969], [5780, 0.759]]","[[1993, 1.0], [5224, 1.0], [8673, 0.9482], [8353, 0.9064], [7536, 0.8865], [770, 0.834], [4553, 0.8318], [8025, 0.8219], [6582, 0.7969], [5780, 0.759]]"
